name,rating,reviews,avg_salary,description
Grasim Industries,4.0,3.9k,13k,Building Material | Bharuch +260 other locations
Aditya Birla Sun Life Insurance,4.0,3.9k,10.4k,Insurance | Mumbai +503 other locations
American Express,4.1,3.9k,25.7k,Financial Services | Gurugram +54 other locations
Kyndryl,4.0,3.9k,27.4k,IT Services & Consulting | Bengaluru +39 other locations
Kyndryl,4.0,3.8k,27.3k,IT Services & Consulting | Bengaluru +39 other locations
Subros,3.8,3.8k,12.8k,Auto Components | Noida +88 other locations
PNB MetLife,3.3,3.8k,8.3k,Insurance | New Delhi +432 other locations
ADP Private Limited,3.9,3.8k,22.3k,Software Product | Hyderabad +41 other locations
Altruist Technologies,4.4,3.8k,8.4k,BPO | Bengaluru +43 other locations
Aditya Birla Capital,3.8,3.8k,14.2k,NBFC | Mumbai +344 other locations
XpressBees,4.2,3.8k,8.3k,Logistics | Pune +479 other locations
Viatris,4.1,3.8k,14.3k,Pharma | Hyderabad +80 other locations
Escorts Kubota Limited,4.1,3.8k,13.8k,Industrial Machinery | Faridabad +157 other locations
PVR INOX,3.9,3.8k,9.6k,Media & Entertainment | New Delhi +151 other locations
Reliance Communications,4.0,3.8k,9.4k,Telecom | Mumbai +465 other locations
KPIT Technologies,2.8,3.8k,23.9k,Software Product | Pune +43 other locations
Maersk,4.0,3.8k,19.4k,Logistics | Chennai +50 other locations
Birlasoft,3.4,3.8k,30k,IT Services & Consulting | Pune +50 other locations
Synechron,3.4,3.7k,28.7k,IT Services & Consulting | Pune +33 other locations
JK Cement,4.0,3.7k,10.2k,Building Material | New Delhi +333 other locations
Glenmark Pharmaceuticals,3.8,3.7k,12.4k,Pharma | Mumbai +188 other locations
Kotak Mahindra Life Insurance Company,3.5,3.7k,12.9k,Insurance | Mumbai +258 other locations
Bharat Electronics,4.2,3.7k,12.8k,Electronics Manufacturing | Bengaluru +87 other locations
Sodexo,4.0,3.7k,9.9k,Facility Management Services | Mumbai +161 other locations
Dabur,3.8,3.7k,9k,FMCG | New Delhi +319 other locations
Cogent E Services,3.1,3.7k,10.4k,BPO | Noida +57 other locations
Godrej & Boyce Manufacturing,3.9,3.6k,15.1k,Consumer Electronics & Appliances | Mumbai +168 other locations
Abbott,4.1,3.6k,11.9k,Pharma | Mumbai +214 other locations
PhonePe,4.0,3.6k,13.5k,FinTech | Bengaluru +400 other locations
Samvardhana Motherson Group,3.7,3.6k,11.9k,Auto Components | Noida +94 other locations
Ipca Laboratories,3.8,3.6k,11.5k,Pharma | Mumbai +162 other locations
Aarti Industries,4.1,3.6k,14.5k,Agro Chemicals | Bharuch +59 other locations
Blinkit,3.8,3.6k,13.8k,Internet | Gurugram +156 other locations
Reliance Projects & Property Management Services,4.0,3.6k,7.3k,Other | Kolkata +625 other locations
UNO Minda,4.0,3.6k,11.5k,Auto Components | Pune +110 other locations
Reliance Digital,4.1,3.6k,8.1k,Retail | Mumbai +380 other locations
IGT Solutions,3.2,3.5k,13.9k,BPO | New Delhi +47 other locations
MRF Tyres,3.6,3.5k,13k,Auto Components | Chennai +194 other locations
Indian Oil Corporation,4.3,3.5k,7.9k,Oil & Gas | New Delhi +310 other locations
ArcelorMittal Nippon Steel India,4.1,3.5k,12.4k,Iron & Steel | Surat +87 other locations
Johnson Controls,3.5,3.5k,17.8k,Industrial Automation | Pune +58 other locations
Alkem Laboratories,3.9,3.5k,9.8k,Pharma | Mumbai +199 other locations
"NTT DATA, Inc.",3.9,3.5k,21.2k,IT Services & Consulting | Bengaluru +37 other locations
Honda Motorcycle & Scooter,4.1,3.5k,11.2k,Automobile | Gurugram +300 other locations
[24]7.ai,3.4,3.5k,11.7k,Software Product | Bengaluru +36 other locations
Vishal Mega Mart,3.7,3.4k,6.3k,Retail | New Delhi +378 other locations
UBS,3.8,3.4k,32.2k,Financial Services | Pune +19 other locations
Hindustan Coca Cola Beverages,4.0,3.4k,7.8k,Beverage | Bengaluru +263 other locations
Barclays,3.7,3.4k,33.5k,Banking | Pune +38 other locations
Bajaj General Insurance Limited,3.7,3.4k,10.9k,Insurance | Pune +306 other locations
IndusInd Nippon Life Insurance,3.4,3.4k,8.1k,Mumbai +489 other locations
DTDC Express,3.7,3.4k,8.9k,Logistics | New Delhi +273 other locations
ABB,4.0,3.4k,18.5k,Industrial Machinery | Bengaluru +108 other locations
Ceat Tyres,3.9,3.4k,13.1k,Auto Components | Nagpur +141 other locations
Ford Motor,4.2,3.4k,15.5k,Automobile | Chennai +130 other locations
TVS Credit Services Ltd,4.2,3.4k,7.4k,NBFC | Chennai +442 other locations
NatWest Group,3.9,3.4k,21.5k,Banking | Gurugram +29 other locations
RSPL Group,4.1,3.3k,9.9k,FMCG | Kanpur +256 other locations
AGS Health,4.0,3.3k,14.7k,Analytics & KPO | Chennai +64 other locations
HARMAN,3.8,3.3k,24.1k,Consumer Electronics & Appliances | Bengaluru +42 other locations
Croma,3.8,3.3k,9.4k,Retail | Mumbai +192 other locations
Niva Bupa Health Insurance Company,4.0,3.3k,8.5k,Insurance | New Delhi +323 other locations
Conduent,3.4,3.3k,17.4k,BPO | Bengaluru +35 other locations
Alstom Transportation,3.7,3.3k,15.5k,Engineering & Construction | Bengaluru +80 other locations
InterGlobe Aviation,3.5,3.3k,13.7k,Aviation | New Delhi +104 other locations
Indian Air Force,4.6,3.3k,5.3k,Defence & Aerospace | New Delhi +134 other locations
Tata Technologies,3.4,3.2k,23.2k,Engineering & Construction | Pune +57 other locations
Tata AIG,4.0,3.2k,11.7k,Insurance | Mumbai +261 other locations
GeBBS Healthcare Solutions,3.8,3.2k,11.3k,BPO | Mumbai +26 other locations
Canara HSBC Life Insurance,4.2,3.2k,6.3k,Insurance | Gurugram +358 other locations
UPL,4.1,3.2k,11.1k,Agro Chemicals | Ankleshwar +184 other locations
Allcargo Logistics,3.8,3.2k,7.1k,Logistics | Mumbai +175 other locations
PepsiCo,4.0,3.2k,14k,Food Processing | Hyderabad +281 other locations
Max Healthcare,4.0,3.2k,10.5k,Healthcare | New Delhi +76 other locations
Sagility,3.9,3.1k,12.6k,BPO | Bengaluru +28 other locations
Dilip Buildcon,3.9,3.1k,8.1k,Engineering & Construction | Bhopal +230 other locations
Mankind Pharma,3.8,3.1k,9.7k,Pharma | New Delhi +247 other locations
Marpu Foundation,4.9,3.1k,61,Non-Profit | Hyderabad +61 other locations
Titan Company,4.2,3.1k,9.7k,Retail | Bengaluru +184 other locations
Amazon Transportation Services,4.2,3.1k,8.5k,Logistics | Hyderabad +223 other locations
Jindal Stainless,4.2,3.1k,11.6k,Iron & Steel | Jajpur +77 other locations
Walmart,3.5,3.1k,23.8k,Retail | Bengaluru +91 other locations
Societe Generale Global Solution Centre,3.6,3.1k,23.4k,IT Services & Consulting | Bengaluru +23 other locations
S&P Global,4.0,3.1k,20.8k,Analytics & KPO | Hyderabad +47 other locations
Varroc Group,3.6,3.1k,9.7k,Auto Components | Pune +61 other locations
MSN Laboratories,3.6,3.1k,9.6k,Pharma | Hyderabad +105 other locations
Quest Global,3.5,3.1k,21.9k,IT Services & Consulting | Bengaluru +49 other locations
